# Path, Multiple keys, Type, Details
2,,string
3,,unknown,EmptyData
4,,object
4/1,*,object
4/1/1,,int
4/1/2,,int
4/1/6,*,object
4/1/6/1,,int
4/1/6/11,,object
4/1/6/11/1,,string
4/1/6/11/2,,int
4/1/6/12,,object
4/1/6/12/4,,data,size=0x1: 00
4/1/6/12/5,,int
4/1/6/12/6,,int
4/1/6/14,,object
4/1/6/14/1,,int
4/1/6/14/2,,float32
4/1/6/14/3,,float32
4/1/6/14/4,,int
4/1/6/14/5,,int
4/1/6/14/6,,int
4/1/6/14/7,,int
4/1/6/14/8,,int
4/1/6/14/9,,int
4/1/6/14/10,,data
4/1/6/22,,unknown,EmptyData
4/1/6/23,,object
4/1/6/23/1,,object
4/1/6/23/1/1,*,object
4/1/6/23/1/1/2,,int
4/1/6/23/1/1/4,,string
4/1/6/23/1/1/11,,object
4/1/6/23/1/1/11/1,,int
4/1/6/23/1/1/11/2,,data,size=0x2: FD 0A
4/1/6/23/1/1/11/3,,int
4/1/6/23/1/1/11/4,,object
4/1/6/23/1/1/11/4/1,,int
4/1/6/23/1/1/11/4/11,,object
4/1/6/23/1/1/11/4/11/1,,object
4/1/6/23/1/1/11/4/11/1/1,,float32
4/1/6/23/1/1/11/4/11/1/2,,float32
4/1/6/23/1/1/11/4/11/1/3,,float32
4/1/6/23/1/1/11/4/12,,object
4/1/6/23/1/1/11/4/12/1,,float32
4/1/6/23/1/1/11/4/13,,object
4/1/6/23/1/1/11/4/13/1,,float32
4/1/6/23/1/1/11/4/13/2,,float32
4/1/6/23/1/1/11/5,,int
4/1/6/23/1/1/11/6,,string
4/1/6/23/1/1/11/7,,unknown,EmptyData
4/1/6/23/1/1/11/8,,unknown,EmptyData
4/1/6/23/1/1/11/9,,int
4/1/6/23/1/1/11/10,,object
4/1/6/23/1/1/11/10/2,,float32
4/1/6/23/1/1/11/10/3,,float32
4/1/6/23/1/1/11/10/4,,int
4/1/6/23/1/1/11/10/5,,float32
4/1/6/23/1/1/11/10/6,,int
4/1/6/23/1/1/11/10/7,,int
4/1/6/23/1/1/11/10/8,,float32
4/1/6/23/1/1/11/10/10,,int
4/1/6/23/1/1/11/10/11,,object
4/1/6/23/1/1/11/10/11/1,,string
4/1/6/23/1/1/11/10/21,,int
4/1/6/23/1/1/11/10/25,,object
4/1/6/23/1/1/11/10/25/1,*,object
4/1/6/23/1/1/11/10/25/1/1,,float32
4/1/6/23/1/1/11/10/25/1/2,,float32
4/1/6/23/1/1/11/10/26,,float32
4/1/6/23/1/1/11/10/27,,float32
4/1/6/23/1/1/11/11,,object
4/1/6/23/1/1/11/11/1,,int
4/1/6/23/1/1/11/11/3,,int
4/1/6/23/1/1/11/11/4,,int
4/1/6/23/1/1/11/11/5,,float32
4/1/6/23/1/1/11/11/6,,unknown,EmptyData
4/1/6/23/1/1/11/11/7,,unknown,EmptyData
4/1/6/23/1/1/11/11/8,,unknown,EmptyData
4/1/6/23/1/1/11/11/9,,int
4/1/6/23/1/1/11/11/10,,int
4/1/6/23/1/1/11/11/11,,int
4/1/6/23/1/1/11/11/12,,float32
4/1/6/23/1/1/11/11/13,,float32
4/1/6/23/1/1/11/12,,int
4/1/6/23/1/1/11/13,,float32
4/1/6/23/1/1/11/14,,unknown,EmptyData
4/1/6/23/1/1/11/15,,unknown,EmptyData
4/1/6/23/1/1/11/20,,int
4/1/6/23/1/1/11/21,,object
4/1/6/23/1/1/11/21/1,,float32
4/1/6/23/1/1/11/21/3,,int
4/1/6/23/1/1/11/22,,unknown,EmptyData
4/1/6/23/1/1/11/23,,int
4/1/6/23/1/1/12,,object
4/1/6/23/1/1/12/1,,string
4/1/6/23/1/1/12/2,,unknown,EmptyData
4/1/6/23/1/1/12/3,,unknown,EmptyData
4/1/6/23/1/1/12/4,,object
4/1/6/23/1/1/12/4/2,,float32
4/1/6/23/1/1/12/4/3,,float32
4/1/6/23/1/1/12/4/4,,int
4/1/6/23/1/1/12/4/5,,float32
4/1/6/23/1/1/12/4/6,,int
4/1/6/23/1/1/12/4/7,,int
4/1/6/23/1/1/12/4/8,,float32
4/1/6/23/1/1/12/4/11,,object
4/1/6/23/1/1/12/4/11/1,,string
4/1/6/23/1/1/12/4/21,,int
4/1/6/23/1/1/12/4/25,,object
4/1/6/23/1/1/12/4/25/1,*,object
4/1/6/23/1/1/12/4/25/1/1,,float32
4/1/6/23/1/1/12/4/25/1/2,,float32
4/1/6/23/1/1/12/5,,object
4/1/6/23/1/1/12/5/1,,int
4/1/6/23/1/1/12/5/3,,int
4/1/6/23/1/1/12/5/4,,int
4/1/6/23/1/1/12/5/5,,float32
4/1/6/23/1/1/12/5/6,,unknown,EmptyData
4/1/6/23/1/1/12/5/7,,unknown,EmptyData
4/1/6/23/1/1/12/5/8,,unknown,EmptyData
4/1/6/23/1/1/12/5/9,,int
4/1/6/23/1/1/12/5/10,,int
4/1/6/23/1/1/12/5/11,,int
4/1/6/23/1/1/12/5/12,,float32
4/1/6/23/1/1/12/5/13,,float32
4/1/6/23/1/1/12/6,,int
4/1/6/23/1/1/12/7,,object
4/1/6/23/1/1/12/7/1,,float32
4/1/6/23/1/1/12/7/3,,int
4/1/6/23/1/1/13,,object
4/1/6/23/1/1/13/1,,float32
4/1/6/23/1/1/17,,object
4/1/6/23/1/1/17/1,,int
4/1/6/23/1/1/17/2,,int
4/1/6/23/1/1/17/3,,float32
4/1/6/23/1/1/17/4,,object
4/1/6/23/1/1/17/4/2,,float32
4/1/6/23/1/1/17/5,,unknown,EmptyData
4/1/6/23/1/1/17/6,,unknown,EmptyData
4/1/6/23/1/1/17/7,,int
4/1/6/23/1/3,,string
4/1/6/31,,object
4/1/6/31/1,,int
4/1/6/32,,object
4/1/6/32/1,,object
4/1/6/32/1/1,,float32
4/1/6/32/1/2,,float32
4/1/6/32/1/3,,float32
4/1/6/32/1/4,,int
4/1/6/32/1/5,,int
4/1/6/32/2,,object
4/1/6/32/2/3,,float32
4/1/6/32/2/4,,float32
4/1/6/32/2/5,,float32
4/1/6/32/3,,unknown,EmptyData
4/1/6/40,,object
4/1/6/40/1,,object
4/1/6/40/1/1,,int
4/1/6/40/1/2,,int
4/1/6/41,,object
4/1/6/41/1,,object
4/1/6/41/1/1,,float32
4/1/6/41/1/2,,float32
4/1/6/41/1/3,,float32
4/1/6/41/1/4,,float32
4/1/6/41/1/5,,float32
4/1/6/42,,object
4/1/6/42/1,,object
4/1/6/42/1/1,,float32
4/1/6/42/1/2,,int
4/1/6/42/1/3,,float32
4/1/6/43,,object
4/1/6/43/1,,object
4/1/6/43/1/1,,data
4/1/6/43/1/2,,float32
4/1/6/43/1/3,,int
4/1/6/43/1/4,,float32
4/1/6/43/1/5,,float32
4/1/6/43/1/7,,int
4/1/6/43/1/10,,int
4/1/6/43/1/11,,int
4/1/6/43/1/13,,int
4/1/6/44,,object
4/1/6/44/1,,object
4/1/6/44/1/1,,int
4/1/6/44/1/2,,float32
4/1/6/44/1/3,,float32
4/1/6/44/1/6,,float32
4/1/6/48,,object
4/1/6/48/1,,float32
4/1/6/48/2,,int
4/1/6/48/3,,int
4/1/6/50,,object
4/1/6/50/501,,data
4/1/6/57,,object
4/1/6/57/1,,object
4/1/6/57/1/2,*,object
4/1/6/57/1/2/1,,int
4/1/6/57/1/2/2,,float32
4/1/6/57/1/2/3,,float32
4/1/6/57/1/2/4,,int
4/1/6/57/1/2/5,,int
4/1/6/57/1/2/6,,float32
4/1/6/57/1/2/7,,float32
4/1/6/65,,object
4/1/6/65/1,*,object
4/1/6/65/1/1,,int
4/1/6/65/1/2,,object
4/1/6/65/1/2/1,,float32
4/1/6/65/1/2/2,,float32
4/1/6/65/1/2/3,,float32
4/1/6/65/1/3,,object
